HO DATE,STATION, SERIES,VOUCHER NO,DCR DATE,ACC NAME,SUB HEAD,NARRATION,AMOUNT
01/01/2021,STBN,DPDEC20,13457,25/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT STBN DT:25/12/20,-1874.00
01/01/2021,ECD,CRDEC20,2040,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:ECD DT:23-12-20
",41.00
01/01/2021,LACR,DPDEC20,12909,24/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT LACR DT;24/12/20
",-2.00
01/01/2021,STBN,DPDEC20,13165,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT STBN DT:25/12/20
",-405.00
01/01/2021,HSSN,CRDEC20,2244,25/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:HSSN DT:25-12-20
",76.00
01/01/2021,HASK,DPDEC20,13963,26/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HASK DT:26/12/20
",-826.00
01/01/2021,RJY,DPDEC20,12202,23/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT VRJY DT:23/12/20
",-309.00
01/01/2021,RMYP,CRDEC20,2236,25/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:RMYP DT:25-12-20
",170.00
01/01/2021,HMLK,DPDEC20,13874,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT HMLK DT:26/12/20,-250.00
01/01/2021,HSSN,CRDEC20,2078,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:HSSN DT:23-12-20
",344.00
01/01/2021,HNGL,DPDEC20,13288,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HNGL DT:25/12/20
",-33.00
01/01/2021,RMYP,CRDEC20,2176,24/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:RMYP DT:24-12-20
",305.00
01/01/2021,STNM,CRDEC20,2076,23/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:STNM DT:23-12-20
",85.00
01/01/2021,HLI,DPDEC20,13088,25/12/2020,Freight Collection O.S Others,,"PAYMENT OF CC AMOUNT AT HLI DT:25/12/20
",-77.00
01/01/2021,KOTR,DPDEC20,13887,26/12/2020,Freight Collection O.S Others,,PAYMENT OF CC AMOUNT AT KOTR DT:26/12/20,-164.00
01/01/2021,ECD,CRDEC20,2167,24/12/2020,Freight Collection O.S Others,,"RECOVERY OF CC AMOUNT AT:ECD DT:24-12-20
",3.00
